Attribute,Unique Count,Unique values,Filter
THREATENED_STATUS,6,"['Vulnerable', 'Critically Endangered', None, 'Endangered', 'Conservation Dependent', 'Extinct in the wild']","Vulnerable', 'Critically Endangered','Endangered'"
MIGRATORY_STATUS,2,"[None, 'Migratory']",All
MARINE,3,"[None, 'Listed', 'Listed - overfly marine area']",None
CETACEAN,2,"[None, 'Cetacean']",None
PRESENCE_RANK,2,"[2, 1]",All
PRESENCE_CATEGORY,2,"['Species or species habitat likely to occur', 'Species or species habitat may occur']",All
EXTRACT_DATE,1,"[Timestamp('2024-02-15 00:00:00+0000', tz='UTC')]",All
TAXON_GROUP,7,"['flora', 'fishes', 'reptiles', 'other-animals', 'birds', 'mammals', 'frogs']",All
TAXON_FAMILY,301,"['Sterculiaceae', 'Sapindaceae', 'Syngnathidae', 'Scincidae', 'Chelidae', 'Thymelaeaceae', 'Proteaceae', 'Helicarionidae', 'Myrtaceae', 'Elaeocarpaceae', 'Triakidae', 'Rhamnaceae', 'Galaxiidae', 'Scrophulariaceae', 'Ericaceae', 'Pristidae', 'Procellariidae', 'Fabaceae', 'Lauraceae', 'Orchidaceae', 'Symplocaceae', 'Asteraceae', 'Parastacidae', 'Frankeniaceae', 'Lycaenidae', 'Lamiaceae', 'Brassicaceae', 'Solanaceae', 'Meliphagidae', 'Peramelidae', 'Apocynaceae', 'Myoporaceae', 'Epacridaceae', 'Acanthaceae', 'Poaceae', 'Rajidae', 'Psophodidae', 'Casuarinaceae', 'Rutaceae', 'Cycadaceae', 'Xanthorrhoeaceae', 'Rhinonycteridae', 'Pittosporaceae', 'Rubiaceae', 'Pelodryadidae', 'Camaenidae', 'Rhinolophidae', 'Miniopteridae', 'Tachyglossidae', 'Cyperaceae', 'Microhylidae', 'Onagraceae', 'Chenopodiaceae', 'Zamiaceae', 'Petauridae', 'Winteraceae', 'Euphorbiaceae', 'Potoroidae', 'Capparaceae', 'Delphinidae', 'Dasyuridae', 'Haemodoraceae', 'Psittacidae', 'Lycopodiaceae', 'Melanotaeniidae', 'Dryopteridaceae', 'Verbenaceae', 'Loganiaceae', 'Terapontidae', 'Xyridaceae', 'Laridae', 'Apiaceae', 'Malvaceae', 'Balaenopteridae', 'Stylidiaceae', 'Carphodactylidae', 'Cuculidae', 'Goodeniaceae', 'Dilleniaceae', 'Mobulidae', 'Carcharhinidae', 'Agamidae', 'Grammitidaceae', 'Plantaginaceae', 'Macropodidae', 'Ranunculaceae', 'Limnodynastidae', 'Lamnidae', 'Muridae', 'Asclepiadaceae', 'Menispermaceae', 'Violaceae', 'Burseraceae', 'Elapidae', 'Arecaceae', 'Molluginaceae', 'Eriocaulaceae', 'Celastraceae', 'Trachichthyidae', 'Typhlopidae', 'Bulimulidae', 'Colletidae', 'Myobatrachidae', 'Hydatellaceae', 'Charopidae', 'Cupressaceae', 'Morabidae', 'Pardalotidae', 'Diomedeidae', 'Migidae', 'Hesperiidae', 'Alaudidae', 'Charadriidae', 'Phocoenidae', 'Phalacrocoracidae', 'Percichthyidae', 'Podocarpaceae', 'Lucanidae', 'Phasmatidae', 'Athyriaceae', 'Caryophyllaceae', 'Santalaceae', 'Rhizophoraceae', 'Araliaceae', 'Hydrophiidae', 'Haloragaceae', 'Eleotridae', 'Cacatuidae', 'Liliaceae', 'Characeae', 'Anatidae', 'Emballonuridae', 'Laticaudidae', 'Urticaceae', 'Selaginellaceae', 'Polygonaceae', 'Rostratulidae', 'Maluridae', 'Nymphalidae', 'Spheniscidae', 'Asterinidae', 'Clusiaceae', 'Gobiidae', 'Idiopidae', 'Eucryphiaceae', 'Amaranthaceae', 'Pteropodidae', 'Plumbaginaceae', 'Scombridae', 'Meliaceae', 'Sphyrnidae', 'Gyrostemonaceae', 'Aspleniaceae', 'Thelypteridaceae', 'Phascolarctidae', 'Noctuidae', 'Otariidae', 'Phocidae', 'Dugongidae', 'Diplodactylidae', 'Icacinaceae', 'Loranthaceae', 'Thylacomyidae', 'Pteridaceae', 'Psilotaceae', 'Neobalaenidae', 'Balaenidae', 'Blechnaceae', 'Myrmecobiidae', 'Araceae', 'Rhaphidophoridae', 'Acanthizidae', 'Turnicidae', 'Nephtheidae', 'Burmanniaceae', 'Dicruridae', 'Megadermatidae', 'Aponogetonaceae', 'Pachycephalidae', 'Hipposideridae', 'Vespertilionidae', 'Annonaceae', 'Dasyornithidae', 'Burramyidae', 'Vombatidae', 'Petroicidae', 'Estrildidae', 'Accipitridae', 'Ziphiidae', 'Physeteridae', 'Tiliaceae', 'Pseudocheiridae', 'Agavaceae', 'Sapotaceae', 'Droseraceae', 'Scolopacidae', 'Glareolidae', 'Hirundinidae', 'Castniidae', 'Varanidae', 'Artamidae', 'Falconidae', 'Meropidae', 'Apodidae', 'Columbidae', 'Austrocorduliidae', 'Megapodiidae', 'Sulidae', 'Cinclosomatidae', 'Pygopodidae', 'Pandanaceae', 'Hyriidae', 'Oceanitidae', 'Motacillidae', 'Campanulaceae', 'Anseranatidae', 'Recurvirostridae', 'Argophyllaceae', 'Tenebrionidae', 'Eustheniidae', 'Phaethontidae', 'Ardeidae', 'Cleridae', 'Dasypogonaceae', 'Lepidoziaceae', 'Archaeidae', 'Polygalaceae', 'Solenostomidae', 'Combretaceae', 'Pedionomidae', 'Atrichornithidae', 'Fregatidae', 'Dermochelyidae', 'Crocodylidae', 'Tytonidae', 'Gekkonidae', 'Turdidae', 'Muscicapidae', 'Cunoniaceae', 'Strigidae', 'Monimiaceae', 'Erythroxylaceae', 'Cheloniidae', 'Moraceae', 'Gentianaceae', 'Megascolecidae', 'Ploceidae', 'Simaroubaceae', 'Rallidae', 'Retropinnidae', 'Pseudomugilidae', 'Surianaceae', 'Hymenophyllaceae', 'Rhincodontidae', 'Pseudococcidae', 'Kumongidae', 'Centrolophidae', 'Phyllanthaceae', 'Brachionichthyidae', 'Soricidae', 'Casuariidae', 'Geraniaceae', 'Dennstaedtiaceae', 'Alcedinidae', 'Synbranchidae', 'Poraniidae', 'Marattiaceae', 'Primulaceae', 'Climacteridae', 'Cucurbitaceae', 'Araucariaceae', 'Passeridae', 'Cyatheaceae', 'Convolvulaceae', 'Oleaceae', 'Oecophoridae', 'Iridaceae', 'Ebenaceae', 'Menyanthaceae', 'Sylviidae', 'Kogiidae', 'Salicaceae', 'Ceratodontidae', 'Hydrobatidae', 'Serranidae', 'Mordaciidae', 'Boryaceae', 'Centrophoridae', 'Restionaceae', 'Centrolepidaceae', 'Nannopercidae', 'Pythonidae', 'Lindsaeaceae', 'Gempylidae', 'Olacaceae', 'Phormiaceae', 'Atherinidae', 'Peripatopsidae', 'Phalangeridae', 'Triozidae', 'Corynocarpaceae']",All
TAXON_ORDER,132,"['Malvales', 'Sapindales', 'Syngnathiformes', 'Squamata', 'Testudines', 'Myrtales', 'Proteales', 'Pulmonata', 'Chimaeiformes', 'Rhamnales', 'Salmoniformes', 'Scrophulariales', 'Ericales', 'Rajiformes', 'Procellariiformes', 'Fabales', 'Laurales', 'Orchidales', 'Ebenales', 'Asterales', 'Decapoda', 'Violales', 'Lepidoptera', 'Lamiales', 'Capparales', 'Solanales', 'Passeriformes', 'Polyprotodonta', 'Gentianales', 'Cyperales', 'Casuarinales', 'Cycadales', 'Liliales', 'Chiroptera', 'Rosales', 'Rubiales', 'Anura', 'Monotremata', 'Caryophyllales', 'Diprotodonta', 'Magnoliales', 'Euphorbiales', 'Cetacea', 'Psittaciformes', 'Lycopodiales', 'Atheriniformes', 'Aspidiales', 'Perciformes', 'Commelinales', 'Charadriiformes', 'Apiales', 'Campanulales', 'Cuculiformes', 'Dilleniales', 'Myliobatiformes', 'Carcharhiniformes', 'Polypodiales', 'Plantaginales', 'Ranunculales', 'Lamniformes', 'Rodentia', 'Arecales', 'Eriocaulales', 'Celastrales', 'Beryciformes', 'Hymenoptera', 'Hydatellales', 'Pinales', 'Orthoptera', 'Araneae', 'Pelecaniformes', 'Coleoptera', 'Phasmatodea', 'Santalales', 'Rhizophorales', 'Haloragales', 'Charales', 'Anseriformes', 'Urticales', 'Polygonales', 'Sphenisciformes', 'Valvatida', 'Theales', 'Plumbaginales', 'Batales', 'Pinnipedia', 'Sirenia', 'Pteridales', 'Psilotales', 'Blechnales', 'Arales', 'Gruiformes', 'Alcyonacea', 'Najadales', 'Falconiformes', 'Nepenthales', 'Coraciiformes', 'Apodiformes', 'Columbiformes', 'Odonata', 'Galliformes', 'Pandanales', 'Unionida', 'Plecoptera', 'Ardeiformes', 'Bryales', 'Polygalales', 'Crocodylia', 'Strigiformes', 'Linales', 'Haplotaxida', 'Hymenophyllales', 'Orectolobiformes', 'Hemiptera', 'Nectiopoda', 'Malpighiales', 'Lophiiformes', 'Insectivora', 'Struthioniformes', 'Geraniales', 'Dicksoniales', 'Synbranchiformes', 'Marattiales', 'Primulales', 'Cyatheales', 'Salicales', 'Ceratodontiformes', 'Petromyzontiformes', 'Asparagales', 'Sqaliformes', 'Restionales', 'Onychophora (no order)']",All
TAXON_CLASS,27,"['Magnoliopsida', 'Actinopterygii', 'Reptilia', 'Gastropoda', 'Chondrichthyes', 'Aves', 'Liliopsida', 'Malacostraca', 'Insecta', 'Mammalia', 'Cycadatae', 'Amphibia', 'Lycopodopiatae', 'Polypodiatae', 'Pinatae', 'Arachnida', 'Streptophyta (no class)', 'Asteroidea', 'Psilotatae', 'Anthozoa', 'Bivalvia', 'Bryopsida', 'Oligochaeta', 'Remipedia', 'Sarcopterygii', 'Cephalaspidomorphi', 'Onychophora (no class)']",All
TAXON_PHYLUM,15,"['Magnoliophyta', 'Chordata', 'Mollusca', 'Arthropoda', 'Cycadophyta', 'Lycopodiophyta', 'Polypodiophyta', 'Pinophyta', 'Streptophyta', 'Echinodermata', 'Psilophyta', 'Cnidaria', 'Bryophyta', 'Annelida', 'Onychophora']",All
TAXON_KINGDOM,2,"['Plantae', 'Animalia']",All